,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
70994,2021-01-21,United Kingdom,3553777,94765,8585.0,3450427.0,37977,1296,89
71012,2021-01-22,Australia,28760,909,22735.0,5116.0,5,0,10
71027,2021-01-22,Brazil,8763517,215442,7746910.0,801165.0,56605,1071,73818
71087,2021-01-22,Israel,589028,4266,504590.0,80172.0,6159,21,7243
71088,2021-01-22,Italy,2441854,84674,1855127.0,502053.0,13633,472,27676
71128,2021-01-22,New Zealand,2276,25,2178.0,73.0,0,0,0
71164,2021-01-22,South Africa,1392568,40076,1201284.0,151208.0,11761,575,17841
71184,2021-01-22,US,24967050,420806,0.0,24546244.0,189528,3777,0
71188,2021-01-22,United Kingdom,3594098,96166,8682.0,3489250.0,40321,1401,97
71206,2021-01-23,Australia,28766,909,22748.0,5109.0,6,0,13
71221,2021-01-23,Brazil,8821815,216587,7775928.0,829300.0,58298,1145,29018
71281,2021-01-23,Israel,593961,4341,512702.0,76918.0,4933,75,8112
71282,2021-01-23,Italy,2455185,85162,1871189.0,498834.0,13331,488,16062
71322,2021-01-23,New Zealand,2283,25,2179.0,79.0,7,0,1
71358,2021-01-23,South Africa,1404839,40574,1217492.0,146773.0,12271,498,16208
71378,2021-01-23,US,25141913,424362,0.0,24717551.0,174863,3556,0
71382,2021-01-23,United Kingdom,3627750,97518,8830.0,3521402.0,33652,1352,148
71400,2021-01-24,Australia,28777,909,22759.0,5109.0,11,0,11
71415,2021-01-24,Brazil,8850334,217182,7821376.0,811776.0,28519,595,45448
71475,2021-01-24,Israel,597403,4419,524817.0,68167.0,3442,78,12115
71476,2021-01-24,Italy,2466813,85461,1882074.0,499278.0,11628,299,10885
71516,2021-01-24,New Zealand,2288,25,2199.0,64.0,5,0,20
71552,2021-01-24,South Africa,1412986,40874,1230520.0,141592.0,8147,300,13028
71572,2021-01-24,US,25279747,426220,0.0,24853527.0,137834,1858,0
71576,2021-01-24,United Kingdom,3657861,98129,8950.0,3550782.0,30111,611,120
71594,2021-01-25,Australia,28780,909,22761.0,5110.0,3,0,2
71609,2021-01-25,Brazil,8880864,217872,7864969.0,798023.0,30530,690,43593
71669,2021-01-25,Israel,601069,4498,534485.0,62086.0,3666,79,9668
71670,2021-01-25,Italy,2475372,85881,1897861.0,491630.0,8559,420,15787
71710,2021-01-25,New Zealand,2290,25,2200.0,65.0,2,0,1
71746,2021-01-25,South Africa,1417537,41117,1241421.0,134999.0,4551,243,10901
71766,2021-01-25,US,25421864,427989,0.0,24993875.0,142117,1769,0
71770,2021-01-25,United Kingdom,3680105,98723,9040.0,3572342.0,22244,594,90
71788,2021-01-26,Australia,28786,909,22766.0,5111.0,6,0,5
71803,2021-01-26,Brazil,8942472,219027,7896290.0,827155.0,61608,1155,31321
71863,2021-01-26,Israel,609656,4513,535717.0,69426.0,8587,15,1232
71864,2021-01-26,Italy,2485956,86422,1917117.0,482417.0,10584,541,19256
71904,2021-01-26,New Zealand,2295,25,2201.0,69.0,5,0,1
71940,2021-01-26,South Africa,1423578,41797,1254674.0,127107.0,6041,680,13253
71960,2021-01-26,US,25566645,431971,0.0,25134674.0,144781,3982,0
71964,2021-01-26,United Kingdom,3700272,100359,9164.0,3590749.0,20167,1636,124
71982,2021-01-27,Australia,28794,909,22779.0,5106.0,8,0,13
71997,2021-01-27,Brazil,9007244,220363,7964176.0,822705.0,64772,1336,67886
72057,2021-01-27,Israel,621590,4605,542115.0,74870.0,11934,92,6398
72058,2021-01-27,Italy,2501147,86889,1936289.0,477969.0,15191,467,19172
72098,2021-01-27,New Zealand,2299,25,2205.0,69.0,4,0,4
72134,2021-01-27,South Africa,1430648,42550,1263476.0,124622.0,7070,753,8802
72154,2021-01-27,US,25721780,436099,0.0,25285681.0,155135,4128,0
72158,2021-01-27,United Kingdom,3725641,102085,9250.0,3614306.0,25369,1726,86
72176,2021-01-28,Australia,28799,909,22781.0,5109.0,5,0,2
72191,2021-01-28,Brazil,9068004,221801,7979513.0,866690.0,60760,1438,15337
72251,2021-01-28,Israel,628895,4669,551489.0,72737.0,7305,64,9374
72252,2021-01-28,Italy,2515507,87381,1953509.0,474617.0,14360,492,17220
72292,2021-01-28,New Zealand,2305,25,2208.0,72.0,6,0,3
72328,2021-01-28,South Africa,1437798,43105,1272197.0,122496.0,7150,555,8721
72348,2021-01-28,US,25889216,439949,0.0,25449267.0,167436,3850,0
72352,2021-01-28,United Kingdom,3754452,103324,9353.0,3641775.0,28811,1239,103
72370,2021-01-29,Australia,28806,909,22791.0,5106.0,7,0,10
72385,2021-01-29,Brazil,9127507,222888,8066603.0,838016.0,59503,1087,87090
72445,2021-01-29,Israel,633991,4700,558019.0,71272.0,5096,31,6530
72446,2021-01-29,Italy,2529070,87858,1973388.0,467824.0,13563,477,19879
72486,2021-01-29,New Zealand,2303,25,2207.0,71.0,0,0,-1
72522,2021-01-29,South Africa,1443939,43633,1284781.0,115525.0,6141,528,12584
72542,2021-01-29,US,26055063,443548,0.0,25611515.0,165847,3599,0
72546,2021-01-29,United Kingdom,3783597,104572,9408.0,3669617.0,29145,1248,55
72564,2021-01-30,Australia,28811,909,22802.0,5100.0,5,0,11
72579,2021-01-30,Brazil,9180621,224080,8148671.0,807870.0,53114,1192,82068
72639,2021-01-30,Israel,638789,4738,561655.0,72396.0,4798,38,3636
72640,2021-01-30,Italy,2541783,88279,1990152.0,463352.0,12713,421,16764
72680,2021-01-30,New Zealand,2304,25,2208.0,71.0,1,0,1
72716,2021-01-30,South Africa,1449236,43951,1292921.0,112364.0,5297,318,8140
72736,2021-01-30,US,26200746,446449,0.0,25754297.0,145683,2901,0
72740,2021-01-30,United Kingdom,3806997,105777,9584.0,3691636.0,23400,1205,176
72758,2021-01-31,Australia,28818,909,22805.0,5104.0,7,0,3
72773,2021-01-31,Brazil,9208521,224648,8176373.0,807500.0,27900,568,27702
72833,2021-01-31,Israel,643435,4796,572511.0,66128.0,4646,58,10856
72834,2021-01-31,Italy,2553032,88516,2010548.0,453968.0,11249,237,20396
72874,2021-01-31,New Zealand,2304,25,2208.0,71.0,0,0,0
72910,2021-01-31,South Africa,1453761,44164,1299620.0,109977.0,4525,213,6699
72930,2021-01-31,US,26316175,448406,0.0,25867769.0,115429,1957,0
72934,2021-01-31,United Kingdom,3828187,106367,9656.0,3712164.0,21190,590,72
72952,2021-02-01,Australia,28823,909,22808.0,5106.0,5,0,3
72967,2021-02-01,Brazil,9237011,225271,8202354.0,809386.0,28490,623,25981
73027,2021-02-01,Israel,652246,4816,572978.0,74452.0,8811,20,467
73028,2021-02-01,Italy,2560957,88845,2024523.0,447589.0,7925,329,13975
73068,2021-02-01,New Zealand,2307,25,2210.0,72.0,3,0,2
73104,2021-02-01,South Africa,1456309,44399,1306022.0,105888.0,2548,235,6402
73124,2021-02-01,US,26445543,450183,0.0,25995360.0,129368,1777,0
73128,2021-02-01,United Kingdom,3846855,106774,9739.0,3730342.0,18668,407,83
73146,2021-02-02,Australia,28829,909,22814.0,5106.0,6,0,6
73161,2021-02-02,Brazil,9293289,226532,8258074.0,808683.0,56278,1261,55720
73221,2021-02-02,Israel,659978,4887,582199.0,72892.0,7732,71,9221
73222,2021-02-02,Italy,2570608,89344,2043499.0,437765.0,9651,499,18976
73262,2021-02-02,New Zealand,2308,25,2222.0,61.0,1,0,12
73298,2021-02-02,South Africa,1458958,44946,1318504.0,95508.0,2649,547,12482
73318,2021-02-02,US,26559415,453716,0.0,26105699.0,113872,3533,0
73322,2021-02-02,United Kingdom,3863761,108225,9822.0,3745714.0,16906,1451,83
73340,2021-02-03,Australia,28838,909,22822.0,5107.0,9,0,8
73355,2021-02-03,Brazil,9347703,227731,8311881.0,808091.0,54414,1199,53807
73415,2021-02-03,Israel,668874,4948,589081.0,74845.0,8896,61,6882
73416,2021-02-03,Italy,2583790,89820,2059248.0,434722.0,13182,476,15749
73456,2021-02-03,New Zealand,2313,25,2228.0,60.0,5,0,6
73492,2021-02-03,South Africa,1463016,45344,1323680.0,93992.0,4058,398,5176
73512,2021-02-03,US,26682527,457633,0.0,26224894.0,123112,3917,0
73516,2021-02-03,United Kingdom,3882976,109547,9940.0,3763489.0,19215,1322,118
73534,2021-02-04,Australia,28842,909,22822.0,5111.0,4,0,0
73549,2021-02-04,Brazil,9404810,229007,8366197.0,809606.0,57107,1276,54316
73609,2021-02-04,Israel,675618,5001,589488.0,81129.0,6744,53,407
73610,2021-02-04,Italy,2597446,90241,2076928.0,430277.0,13656,421,17680
73650,2021-02-04,New Zealand,2315,25,2228.0,62.0,2,0,0
